Course,List,Weighted
Lit & Comp l,a,FALSE
Lit & Comp II,a,FALSE
Lit & Comp II H,a,FALSE
Lit & Comp III,a,FALSE
AP Language,a,FALSE
AP Lit & Comp,a,FALSE
Media/Mod Plays,a,FALSE
PopCult/Film Lit Comp,a,FALSE
Myth/Sci Fi Comp,a,TRUE
General Math,a,FALSE
Integrated I,a,FALSE
Integrated II,a,TRUE
Integrated III,a,FALSE
Data Science,a,FALSE
Int. III Enh.,a,FALSE
Financial Algebra,a,FALSE
Pre-Calculus,a,FALSE
AP Calculus AB,a,TRUE
AP Calculus BC,a,FALSE
AP Statistics,a,FALSE
"Bio, Liv Earth",a,FALSE
AP Biology,a,TRUE
Chemistry,a,FALSE
Journalism,b,FALSE
AP Comp. Sci Prin.,b,FALSE
AP Seminar,b,FALSE
AP Research,b,FALSE
AP Art History,b,FALSE
Zoology,b,FALSE
AP Music Theory,b,FALSE
